client_id,round_number,hierarchy,num_samples,set,features,accuracy,loss,ground_thruth,prediction,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
f0009_06_sample_0,,,13,test,images/f0009_06/f0009_06_sample_0.png,0.9230769230769231,0.23986190557479858,8,8,0.0019458626629784703,7.9990550148068e-06,0.016491424292325974,0.007480144500732422,8.495179645251483e-05,0.005311234854161739,0.007141756825149059,1.3529195257433457e-06,0.9613364934921265,0.0001986947318073362
f0009_06_sample_1,,,13,test,images/f0009_06/f0009_06_sample_1.png,0.9230769230769231,0.23986190557479858,6,6,0.0008225042256526649,1.7779667587092263e-06,0.038321953266859055,3.1345141906058416e-05,3.432921948842704e-05,0.0076108393259346485,0.9526833295822144,5.515954915047416e-10,0.0004938000929541886,6.301780075546048e-08
f0009_06_sample_2,,,13,test,images/f0009_06/f0009_06_sample_2.png,0.9230769230769231,0.23986190557479858,7,7,6.8956260292907245e-06,6.834656232967973e-05,1.598544986336492e-05,4.287285264581442e-05,8.741499755160476e-07,3.133220161544159e-06,2.2090653958861672e-11,0.9991965889930725,7.484021625714377e-05,0.0005905340658500791
f0009_06_sample_3,,,13,test,images/f0009_06/f0009_06_sample_3.png,0.9230769230769231,0.23986190557479858,5,5,0.11319124698638916,7.13705730959191e-07,0.014873433858156204,0.27901405096054077,0.0014285009820014238,0.5393914580345154,0.0002042758569587022,0.0014400329673662782,0.04343234747648239,0.007023989222943783
f0009_06_sample_4,,,13,test,images/f0009_06/f0009_06_sample_4.png,0.9230769230769231,0.23986190557479858,8,8,0.05976856127381325,1.9116191651846748e-06,0.0007187674636952579,0.0021448275074362755,0.00014691599062643945,0.0012824974255636334,5.892428021070373e-07,0.0024088879581540823,0.9277539253234863,0.005773129872977734
f0009_06_sample_5,,,13,test,images/f0009_06/f0009_06_sample_5.png,0.9230769230769231,0.23986190557479858,6,6,0.002706930972635746,0.0001491443981649354,0.0034644221886992455,7.24885330782854e-06,0.0014726476510986686,0.006389420945197344,0.9854685664176941,4.837873213148214e-09,0.0003409083583392203,6.775467227271292e-07
f0009_06_sample_6,,,13,test,images/f0009_06/f0009_06_sample_6.png,0.9230769230769231,0.23986190557479858,8,8,0.000648224784526974,2.425372258585412e-06,0.0017057581571862102,0.00013831471733283252,8.06114712759154e-06,0.0034500123001635075,3.1149065762292594e-05,4.943290332448669e-05,0.9931815266609192,0.0007851097616367042
f0009_06_sample_7,,,13,test,images/f0009_06/f0009_06_sample_7.png,0.9230769230769231,0.23986190557479858,6,0,0.4259854257106781,0.011842569336295128,0.043045345693826675,0.0009277347708120942,0.0023192749358713627,0.1854386180639267,0.31752246618270874,6.071446023270255e-06,0.012837648391723633,7.485879177693278e-05
f0009_06_sample_8,,,13,test,images/f0009_06/f0009_06_sample_8.png,0.9230769230769231,0.23986190557479858,9,9,1.3449424841383006e-05,3.735138864868759e-09,2.9904645089118276e-06,0.0011957901297137141,8.490430627716705e-05,6.545515498146415e-05,1.620123826762132e-11,0.12371708452701569,0.00044401478953659534,0.8744763731956482
f0009_06_sample_9,,,13,test,images/f0009_06/f0009_06_sample_9.png,0.9230769230769231,0.23986190557479858,6,6,0.11746831983327866,0.00035582506097853184,0.03136347606778145,0.00043231199379079044,0.001069739693775773,0.39316144585609436,0.4444063603878021,1.7458306444950722e-07,0.011723911389708519,1.8482589439372532e-05
f0009_06_sample_10,,,13,test,images/f0009_06/f0009_06_sample_10.png,0.9230769230769231,0.23986190557479858,3,3,0.00021353822376113385,2.6858300739701635e-12,0.0010140551021322608,0.9975547194480896,2.5611610610098978e-08,0.00021451326028909534,5.011536430288288e-08,6.53045663057128e-06,0.000877754355315119,0.00011883310799021274
f0009_06_sample_11,,,13,test,images/f0009_06/f0009_06_sample_11.png,0.9230769230769231,0.23986190557479858,8,8,0.09246368706226349,0.0033251738641411066,0.003018774325028062,0.004698425531387329,0.0019118902273476124,0.0022863242775201797,2.8615024348255247e-05,0.05755464732646942,0.8078774809837341,0.026834923774003983
f0009_06_sample_12,,,13,test,images/f0009_06/f0009_06_sample_12.png,0.9230769230769231,0.23986190557479858,2,2,0.000944141240324825,4.1482884682864096e-08,0.992459237575531,0.00637538218870759,1.113469465963135e-06,5.428288932307623e-05,3.2765678042778745e-05,9.966917787096463e-06,0.0001202212879434228,2.8718905014102347e-06
f0013_38_sample_0,,,11,test,images/f0013_38/f0013_38_sample_0.png,1.0,0.04778207466006279,8,8,2.841991999957827e-06,5.862782614940443e-08,4.044693469040794e-06,0.0004233677755109966,0.0004904919769614935,0.00018546781211625785,6.520287421096782e-09,0.0017499842215329409,0.873826801776886,0.12331691384315491
f0013_38_sample_1,,,11,test,images/f0013_38/f0013_38_sample_1.png,1.0,0.04778207466006279,5,5,8.681889448780566e-05,1.3733354290747495e-14,1.464041588405962e-06,0.0006873247330076993,5.825596872455208e-06,0.997927188873291,8.581490874348674e-06,2.4628467668041942e-11,0.0012794234789907932,3.357792365932255e-06
f0013_38_sample_2,,,11,test,images/f0013_38/f0013_38_sample_2.png,1.0,0.04778207466006279,9,9,3.2450127491756575e-06,6.903718152706517e-10,1.1740726222342346e-06,3.565443694242276e-05,0.0019045780645683408,7.432106212945655e-05,1.3750386385069646e-09,0.002392493188381195,0.027802469208836555,0.9677860736846924
f0013_38_sample_3,,,11,test,images/f0013_38/f0013_38_sample_3.png,1.0,0.04778207466006279,7,7,5.090003924124176e-06,2.2567720137089964e-08,1.8021776782006782e-07,4.974437160853995e-06,8.974714091891656e-07,3.4718127608357463e-06,6.90566852833141e-14,0.9983034133911133,5.350036190066021e-06,0.0016765326727181673
f0013_38_sample_4,,,11,test,images/f0013_38/f0013_38_sample_4.png,1.0,0.04778207466006279,4,4,0.00010831674444489181,2.94343749374093e-07,3.891382220899686e-05,6.471463620982831e-06,0.9962803721427917,0.0022041904740035534,2.883412435039645e-06,3.8916214180062525e-06,0.00037425270420499146,0.0009803606662899256
f0013_38_sample_5,,,11,test,images/f0013_38/f0013_38_sample_5.png,1.0,0.04778207466006279,8,8,7.710186037002131e-05,1.7552313083001362e-15,1.4043554983800277e-05,0.000452557229436934,0.0014582161093130708,0.0007728056516498327,9.817673785050829e-09,1.2749600841743813e-07,0.9961826205253601,0.0010425292421132326
f0013_38_sample_6,,,11,test,images/f0013_38/f0013_38_sample_6.png,1.0,0.04778207466006279,9,9,5.616625912807649e-06,3.453864971803e-11,2.9041016205155756e-06,0.00020189023052807897,0.001030954415909946,8.041410183068365e-06,3.558211711385262e-11,0.07672513276338577,0.00216980860568583,0.919855535030365
